"Date","Price","Open","High","Low","Vol.","Change %"
"27/11/2020","1,039.14","1,025.97","1,048.06","1,022.14","","1.34%"
"26/11/2020","1,025.45","1,030.96","1,031.58","1,010.72","","-0.56%"
"25/11/2020","1,031.27","1,013.03","1,037.46","1,012.55","","1.80%"
"24/11/2020","1,013.03","980.32","1,023.14","979.73","","3.35%"
"23/11/2020","980.23","976.92","984.56","964.34","","0.35%"
"20/11/2020","976.79","989.65","996.07","976.79","","-1.30%"
"19/11/2020","989.65","990.48","994.31","976.58","","-0.09%"
"18/11/2020","990.52","1,017.59","1,029.49","990.52","","-2.66%"
"17/11/2020","1,017.56","1,014.10","1,026.26","999.72","","0.33%"
"16/11/2020","1,014.26","995.30","1,014.26","981.62","","1.95%"
"13/11/2020","994.82","971.20","998.16","971.20","","2.45%"
"12/11/2020","971.06","1,007.58","1,008.67","966.63","","-3.64%"
"11/11/2020","1,007.74","1,017.20","1,025.93","996.09","","-0.93%"
"10/11/2020","1,017.20","1,020.11","1,045.61","1,014.43","","-0.29%"
"09/11/2020","1,020.18","968.00","1,031.84","968.00","","5.50%"
"06/11/2020","967.00","944.42","970.35","922.71","","2.36%"
"05/11/2020","944.69","909.08","947.26","908.75","","3.95%"
"04/11/2020","908.75","858.69","911.69","858.69","","5.84%"
"03/11/2020","858.63","864.19","891.69","851.06","","-0.59%"
"30/10/2020","863.71","892.65","892.65","859.85","","-3.24%"
"29/10/2020","892.60","882.24","899.87","852.76","","1.17%"
"28/10/2020","882.27","932.78","932.78","881.49","","-5.48%"
"27/10/2020","933.44","948.71","953.89","931.22","","-1.61%"
"26/10/2020","948.71","977.11","977.11","937.09","","-2.91%"
"23/10/2020","977.12","984.05","984.70","970.64","","-0.69%"
"22/10/2020","983.93","1,001.98","1,004.00","983.93","","-1.79%"
"21/10/2020","1,001.88","985.85","1,010.43","983.84","","1.62%"
"20/10/2020","985.91","963.68","987.89","963.68","","2.34%"
"19/10/2020","963.40","955.41","985.70","953.47","","0.85%"
"16/10/2020","955.30","967.48","969.75","952.98","","-1.25%"
"15/10/2020","967.44","957.43","971.53","943.34","","1.00%"
"14/10/2020","957.90","960.87","970.88","950.42","","-0.31%"
"13/10/2020","960.90","968.83","974.03","955.47","","-0.83%"
"09/10/2020","968.92","945.58","976.42","944.56","","2.47%"
"08/10/2020","945.61","932.96","945.66","927.15","","1.37%"
"07/10/2020","932.86","927.32","943.52","917.05","","0.63%"
"06/10/2020","927.06","913.59","945.82","913.56","","1.50%"
"05/10/2020","913.40","910.70","921.60","897.62","","0.30%"
"02/10/2020","910.63","929.78","935.05","904.69","","-2.06%"
"01/10/2020","929.81","885.71","930.78","882.60","","4.98%"
"30/09/2020","885.71","866.33","887.99","866.33","","2.25%"
"29/09/2020","866.23","878.02","882.26","862.22","","-1.35%"
"28/09/2020","878.07","909.82","922.76","876.28","","-3.47%"
"25/09/2020","909.63","916.00","916.00","899.60","","-0.72%"
"24/09/2020","916.22","907.10","928.63","897.83","","1.01%"
"23/09/2020","907.03","932.69","940.80","904.76","","-2.75%"
"22/09/2020","932.69","924.29","937.57","910.65","","0.89%"
"21/09/2020","924.42","946.29","946.29","909.62","","-2.35%"
"18/09/2020","946.70","979.07","979.07","943.39","","-3.31%"
"17/09/2020","979.11","994.97","994.97","969.83","","-1.60%"
"16/09/2020","995.08","991.73","1,011.44","988.63","","0.34%"
"15/09/2020","991.71","1,000.84","1,008.10","984.99","","-0.87%"
"14/09/2020","1,000.38","958.37","1,001.70","958.37","","4.38%"
"11/09/2020","958.37","972.95","974.11","946.07","","-1.50%"
"10/09/2020","972.93","995.33","1,004.92","969.26","","-2.25%"
"09/09/2020","995.35","997.69","1,012.11","989.01","","-0.21%"
"08/09/2020","997.40","977.16","1,001.92","959.94","","2.07%"
"04/09/2020","977.18","975.02","986.42","938.22","","0.22%"
"03/09/2020","975.02","990.83","997.22","962.73","","-1.59%"
"02/09/2020","990.79","993.63","999.24","983.16","","-0.29%"
"01/09/2020","993.67","962.76","993.67","962.70","","3.21%"
"31/08/2020","962.80","991.43","995.45","960.61","","-2.92%"
"28/08/2020","991.71","970.51","995.52","970.47","","2.18%"
"27/08/2020","970.51","978.13","987.59","965.77","","-0.75%"
"26/08/2020","977.87","1,000.79","1,013.80","961.86","","-2.29%"
"25/08/2020","1,000.79","1,006.34","1,015.96","996.21","","-0.54%"
"24/08/2020","1,006.27","1,018.30","1,030.53","1,000.22","","-1.15%"
"21/08/2020","1,017.97","1,014.67","1,032.72","1,002.14","","0.37%"
"20/08/2020","1,014.21","981.23","1,018.23","957.82","","3.33%"
"19/08/2020","981.53","1,003.89","1,005.24","978.32","","-2.23%"
"18/08/2020","1,003.94","971.39","1,003.94","971.39","","3.42%"
"17/08/2020","970.74","1,020.21","1,022.08","963.64","","-4.85%"
"14/08/2020","1,020.25","987.20","1,023.61","976.30","","3.35%"
"13/08/2020","987.21","1,022.53","1,031.18","985.33","","-3.45%"
"12/08/2020","1,022.52","1,051.87","1,058.84","1,006.00","","-2.82%"
"11/08/2020","1,052.18","1,048.93","1,063.84","1,036.98","","0.37%"
"10/08/2020","1,048.31","1,059.50","1,061.82","1,040.97","","-1.02%"
"07/08/2020","1,059.09","1,082.72","1,085.23","1,052.86","","-2.20%"
"06/08/2020","1,082.86","1,042.72","1,084.46","1,042.72","","3.90%"
"05/08/2020","1,042.22","1,003.81","1,046.73","1,003.78","","3.86%"
"04/08/2020","1,003.47","1,019.37","1,029.46","993.63","","-1.58%"
"03/08/2020","1,019.61","1,045.92","1,052.39","1,016.24","","-2.48%"
"31/07/2020","1,045.54","1,065.37","1,072.84","1,037.41","","-1.82%"
"30/07/2020","1,064.93","1,057.40","1,067.80","1,041.99","","0.62%"
"29/07/2020","1,058.39","1,033.72","1,063.27","1,033.65","","2.45%"
"28/07/2020","1,033.11","1,032.32","1,038.99","1,015.49","","0.08%"
"27/07/2020","1,032.32","1,033.65","1,054.29","1,028.38","","-0.11%"
"24/07/2020","1,033.41","1,048.12","1,048.15","1,009.23","","-1.41%"
"23/07/2020","1,048.15","1,083.00","1,087.44","1,043.84","","-3.22%"
"22/07/2020","1,082.98","1,104.70","1,112.05","1,074.66","","-1.97%"
"21/07/2020","1,104.70","1,116.37","1,123.98","1,088.53","","-1.02%"
"20/07/2020","1,116.11","1,099.19","1,117.11","1,098.78","","1.52%"
"17/07/2020","1,099.42","1,081.68","1,102.62","1,081.60","","1.65%"
"16/07/2020","1,081.60","1,088.80","1,088.80","1,067.89","","-0.66%"
"15/07/2020","1,088.80","1,091.57","1,107.79","1,079.76","","-0.22%"
"14/07/2020","1,091.21","1,082.44","1,093.12","1,061.79","","0.83%"
"13/07/2020","1,082.27","1,117.58","1,127.93","1,080.71","","-3.12%"
"10/07/2020","1,117.14","1,089.95","1,117.14","1,083.29","","2.50%"
"09/07/2020","1,089.91","1,080.23","1,094.15","1,076.54","","0.90%"
"08/07/2020","1,080.19","1,057.25","1,086.85","1,057.25","","2.18%"
"07/07/2020","1,057.16","1,062.95","1,069.72","1,045.18","","-0.54%"
"06/07/2020","1,062.92","1,042.18","1,068.14","1,042.03","","2.10%"
"03/07/2020","1,041.07","1,011.26","1,041.50","1,007.16","","2.88%"
"02/07/2020","1,011.88","1,016.34","1,043.95","1,008.60","","-0.39%"
"01/07/2020","1,015.89","975.25","1,019.08","975.09","","4.17%"
"30/06/2020","975.25","974.80","998.11","962.21","","0.06%"
"29/06/2020","974.64","939.21","974.64","921.36","","3.77%"
"26/06/2020","939.19","980.34","981.34","937.86","","-4.22%"
"25/06/2020","980.61","976.81","987.93","962.78","","0.37%"
"24/06/2020","977.03","997.91","1,005.08","961.34","","-2.11%"
"23/06/2020","998.11","987.06","1,009.25","985.47","","1.16%"
"22/06/2020","986.63","981.56","1,018.95","979.45","","0.56%"
"19/06/2020","981.16","960.96","986.93","960.96","","2.19%"
"18/06/2020","960.11","967.77","1,001.07","956.67","","-0.79%"
"17/06/2020","967.72","929.48","973.69","929.35","","4.12%"
"16/06/2020","929.47","931.40","967.76","924.90","","-0.10%"
"15/06/2020","930.44","930.42","941.89","885.13","","-0.04%"
"12/06/2020","930.82","958.51","958.66","910.97","","-2.98%"
"10/06/2020","959.42","999.90","1,025.66","952.82","","-3.98%"
"09/06/2020","999.21","992.77","1,011.12","955.03","","0.57%"
"08/06/2020","993.58","960.06","995.94","960.06","","3.52%"
"05/06/2020","959.84","955.95","1,003.03","955.95","","0.46%"
"04/06/2020","955.42","963.04","975.70","944.10","","-0.79%"
"03/06/2020","963.04","896.16","967.64","896.16","","7.60%"
"02/06/2020","895.04","862.24","895.11","861.77","","3.82%"
"01/06/2020","862.12","822.51","863.49","816.61","","4.81%"
"29/05/2020","822.57","838.04","838.25","806.61","","-1.84%"
"28/05/2020","838.01","872.58","873.03","838.01","","-3.96%"
"27/05/2020","872.58","835.17","872.58","834.94","","4.50%"
"26/05/2020","835.04","851.64","873.80","829.18","","-1.93%"
"25/05/2020","851.48","792.91","853.86","792.25","","7.55%"
"22/05/2020","791.72","813.83","813.83","784.75","","-2.74%"
"21/05/2020","814.03","765.39","819.22","764.52","","6.35%"
"20/05/2020","765.39","740.31","785.07","740.07","","3.37%"
"19/05/2020","740.46","740.77","765.16","734.49","","-0.16%"
"18/05/2020","741.63","687.56","743.02","687.56","","7.97%"
"15/05/2020","686.87","702.25","704.98","675.48","","-2.22%"
"14/05/2020","702.45","677.54","702.45","654.07","","3.65%"
"13/05/2020","677.72","680.87","683.19","659.35","","-0.42%"
"12/05/2020","680.60","692.46","710.29","680.60","","-1.69%"
"11/05/2020","692.31","709.56","710.25","687.77","","-2.41%"
"08/05/2020","709.41","702.47","720.30","696.01","","0.98%"
"07/05/2020","702.55","748.20","757.04","702.55","","-6.04%"
"06/05/2020","747.74","766.90","776.34","741.43","","-2.43%"
"05/05/2020","766.34","776.28","792.63","764.17","","-1.18%"
"04/05/2020","775.50","813.29","813.29","764.10","","-4.76%"
"30/04/2020","814.22","865.12","865.12","809.64","","-5.94%"
"29/04/2020","865.67","840.78","870.61","840.78","","2.99%"
"28/04/2020","840.56","782.57","840.56","782.57","","7.49%"
"27/04/2020","781.97","755.92","786.66","754.71","","3.48%"
"24/04/2020","755.69","845.43","845.43","728.87","","-10.67%"
"23/04/2020","845.94","854.08","881.94","832.88","","-0.90%"
"22/04/2020","853.61","805.63","855.39","805.25","","5.91%"
"20/04/2020","806.00","770.46","808.71","749.48","","4.46%"
"17/04/2020","771.61","749.73","785.01","749.73","","2.97%"
"16/04/2020","749.36","750.29","767.46","738.22","","-0.09%"
"15/04/2020","750.02","766.02","766.02","742.11","","-2.31%"
"14/04/2020","767.72","763.69","785.48","760.22","","0.60%"
"13/04/2020","763.15","764.12","767.38","732.75","","-0.13%"
"09/04/2020","764.12","775.36","801.25","753.12","","-1.27%"
"08/04/2020","773.92","738.72","776.35","731.39","","4.77%"
"07/04/2020","738.72","720.05","790.41","720.05","","2.62%"
"06/04/2020","719.84","680.75","750.96","680.75","","5.89%"
"03/04/2020","679.80","699.13","700.14","649.57","","-2.80%"
"02/04/2020","699.36","705.30","718.10","682.45","","-0.82%"
"01/04/2020","705.14","755.97","755.97","694.08","","-6.91%"
"31/03/2020","757.48","827.86","830.50","755.84","","-8.47%"
"30/03/2020","827.62","842.29","859.98","820.09","","-1.73%"
"27/03/2020","842.16","898.40","898.43","832.80","","-6.45%"
"26/03/2020","900.18","831.82","924.11","831.81","","8.10%"
"25/03/2020","832.73","761.05","861.86","751.61","","9.58%"
"24/03/2020","759.94","658.80","766.88","658.80","","15.46%"
"23/03/2020","658.18","707.35","710.74","640.87","","-6.86%"
"20/03/2020","706.68","734.99","787.46","701.07","","-3.78%"
"19/03/2020","734.41","660.01","751.70","595.44","","11.20%"
"18/03/2020","660.46","796.83","796.83","617.56","","-17.66%"
"17/03/2020","802.12","786.02","836.85","773.22","","2.05%"
"16/03/2020","786.01","953.48","953.48","784.08","","-17.69%"
"13/03/2020","954.89","886.02","994.29","866.75","","8.98%"
"12/03/2020","876.21","1,042.29","1,042.29","839.26","","-16.41%"
"11/03/2020","1,048.18","1,133.40","1,133.40","978.11","","-7.51%"
"10/03/2020","1,133.30","1,063.44","1,139.68","1,063.44","","6.71%"
"09/03/2020","1,062.03","1,199.19","1,199.19","1,062.03","","-11.54%"
"06/03/2020","1,200.64","1,248.47","1,248.47","1,171.49","","-3.91%"
"05/03/2020","1,249.49","1,351.17","1,351.17","1,222.33","","-7.53%"
"04/03/2020","1,351.26","1,313.86","1,354.04","1,313.86","","2.93%"
"03/03/2020","1,312.79","1,325.73","1,370.58","1,305.98","","-0.97%"
"02/03/2020","1,325.64","1,289.36","1,339.32","1,284.60","","2.78%"
"28/02/2020","1,289.77","1,283.73","1,289.77","1,228.18","","0.43%"
"27/02/2020","1,284.21","1,331.50","1,331.50","1,273.40","","-3.62%"
"26/02/2020","1,332.44","1,428.53","1,428.53","1,322.06","","-6.80%"
"21/02/2020","1,429.73","1,425.00","1,431.10","1,404.15","","0.32%"
"20/02/2020","1,425.22","1,437.08","1,439.09","1,413.92","","-0.82%"
"19/02/2020","1,437.03","1,416.99","1,444.81","1,414.08","","1.42%"
"18/02/2020","1,416.93","1,414.51","1,417.72","1,398.35","","0.14%"
"17/02/2020","1,414.91","1,415.92","1,421.95","1,407.21","","-0.06%"
"14/02/2020","1,415.69","1,430.06","1,431.54","1,408.38","","-0.97%"
"13/02/2020","1,429.58","1,438.20","1,438.85","1,409.62","","-0.66%"
"12/02/2020","1,439.14","1,417.73","1,449.16","1,414.51","","1.53%"
"11/02/2020","1,417.45","1,373.90","1,421.73","1,372.68","","3.25%"
"10/02/2020","1,372.83","1,418.12","1,422.88","1,362.49","","-3.19%"
"07/02/2020","1,418.12","1,443.94","1,444.41","1,413.56","","-1.79%"
"06/02/2020","1,444.00","1,483.65","1,492.18","1,435.95","","-2.61%"
"05/02/2020","1,482.69","1,485.62","1,511.03","1,480.66","","-0.14%"
"04/02/2020","1,484.74","1,470.70","1,509.63","1,470.70","","1.05%"
"03/02/2020","1,469.37","1,442.41","1,483.73","1,441.13","","1.87%"
"31/01/2020","1,442.44","1,464.49","1,464.49","1,438.84","","-1.56%"
"30/01/2020","1,465.24","1,482.15","1,482.15","1,420.29","","-1.19%"
"29/01/2020","1,482.83","1,473.53","1,498.81","1,473.53","","0.66%"
"28/01/2020","1,473.15","1,451.41","1,480.20","1,451.41","","1.50%"
"27/01/2020","1,451.39","1,501.83","1,501.83","1,446.85","","-3.43%"
"24/01/2020","1,502.97","1,526.84","1,527.90","1,497.69","","-1.52%"
"23/01/2020","1,526.20","1,503.05","1,526.20","1,484.60","","1.55%"
"22/01/2020","1,502.91","1,494.06","1,509.42","1,483.14","","0.64%"
"21/01/2020","1,493.32","1,508.43","1,508.53","1,487.99","","-1.00%"
"20/01/2020","1,508.43","1,491.49","1,508.43","1,483.88","","1.16%"
"17/01/2020","1,491.15","1,475.91","1,491.15","1,462.63","","1.03%"
"16/01/2020","1,475.91","1,481.96","1,488.70","1,462.62","","-0.41%"
"15/01/2020","1,481.96","1,488.55","1,490.03","1,467.41","","-0.44%"
"14/01/2020","1,488.55","1,465.84","1,488.55","1,460.26","","1.55%"
"13/01/2020","1,465.81","1,440.78","1,465.84","1,440.64","","1.75%"
"10/01/2020","1,440.56","1,436.64","1,450.13","1,432.53","","0.29%"
"09/01/2020","1,436.41","1,433.53","1,441.72","1,428.81","","0.21%"
"08/01/2020","1,433.36","1,449.31","1,449.89","1,428.05","","-1.10%"
"07/01/2020","1,449.30","1,435.99","1,450.05","1,423.26","","0.95%"
"06/01/2020","1,435.64","1,443.61","1,443.61","1,420.59","","-0.55%"
"03/01/2020","1,443.65","1,418.59","1,445.42","1,399.88","","1.59%"
"02/01/2020","1,421.04","1,389.11","1,421.23","1,387.17","","2.32%"
